Multi Channel DataManager 1.8.4.0 ASCII Export
File version: 1
Stream label: Data Acquisition (1);MEA2100; Electrode Raw Data1
Stream type: Analog
Data subtype: Electrode

TimeStamp [µs],47 (ID=0) [pV],48 (ID=1) [pV],46 (ID=2) [pV],45 (ID=3) [pV],38 (ID=4) [pV],37 (ID=5) [pV],28 (ID=6) [pV],36 (ID=7) [pV],27 (ID=8) [pV],17 (ID=9) [pV],26 (ID=10) [pV],16 (ID=11) [pV],35 (ID=12) [pV],25 (ID=13) [pV],r<ef (ID=14) [pV],14 (ID=15) [pV],24 (ID=16) [pV],34 (ID=17) [pV],13 (ID=18) [pV],23 (ID=19) [pV],12 (ID=20) [pV],22 (ID=21) [pV],33 (ID=22) [pV],21 (ID=23) [pV],32 (ID=24) [pV],31 (ID=25) [pV],44 (ID=26) [pV],43 (ID=27) [pV],41 (ID=28) [pV],42 (ID=29) [pV],52 (ID=30) [pV],51 (ID=31) [pV],53 (ID=32) [pV],54 (ID=33) [pV],61 (ID=34) [pV],62 (ID=35) [pV],71 (ID=36) [pV],63 (ID=37) [pV],72 (ID=38) [pV],82 (ID=39) [pV],73 (ID=40) [pV],83 (ID=41) [pV],64 (ID=42) [pV],74 (ID=43) [pV],84 (ID=44) [pV],85 (ID=45) [pV],75 (ID=46) [pV],65 (ID=47) [pV],86 (ID=48) [pV],76 (ID=49) [pV],87 (ID=50) [pV],77 (ID=51) [pV],66 (ID=52) [pV],78 (ID=53) [pV],67 (ID=54) [pV],68 (ID=55) [pV],55 (ID=56) [pV],56 (ID=57) [pV],58 (ID=58) [pV],57 (ID=59) [pV]
0,2801435,-1966965,2384200,-1251705,1251705,834470,1013285,1788150,-3516695,4410770,-3457090,-2145780,-476840,298025,298025,-655655,7629440,-2264990,2086175,536445,-3635905,3039855,1966965,5841290,4947215,2622620,1311310,6139315,-119210,655655,4768400,2324595,7331415,178815,-2801435,1847755,3993535,3516695,-2026570,4172350,6020105,2920645,5424055,1013285,-119210,1311310,3039855,655655,2563015,9059960,-119210,8106280,6914180,1311310,-119210,-2264990,178815,1609335,-6020105,4172350
100,-2563015,-5304845,-3397485,59605,-1251705,-1549730,3218670,4410770,-7987070,4410770,-2861040,3099460,3337880,-5781685,-417235,1668940,6139315,-2563015,1251705,-4410770,-894075,1370915,-5602870,2801435,2324595,-417235,4053140,1668940,-3159065,0,3278275,1907360,7927465,1668940,715260,-3516695,1311310,1430520,-298025,715260,-3516695,1847755,3337880,1251705,-2503410,-2861040,2741830,1132495,3159065,8761935,-596050,6020105,11682580,-774865,5424055,-4112745,-5304845,-1490125,-5304845,-238420
200,4112745,-5662475,5722080,3516695,-2205385,-2264990,4112745,-1668940,834470,774865,-5841290,3457090,-2682225,-536445,-774865,5722080,4470375,-1907360,3755115,655655,-2801435,-3695510,-3457090,2086175,1132495,5126030,1490125,-417235,-5543265,2682225,-3039855,417235,3814720,-2920645,1847755,-4887610,1072890,834470,-1132495,1549730,-1609335,298025,894075,2086175,-5245240,-476840,357630,6020105,298025,4112745,-4231955,-1370915,-894075,-7689045,2443805,1907360,-5960500,-417235,-8583120,-2920645
300,834470,-2086175,6914180,3278275,-9119565,-5245240,-2920645,-2801435,1788150,-2741830,-5006820,3039855,417235,-6198920,-1847755,3099460,1907360,-3099460,4529980,238420,-3397485,-5841290,-6735365,6556550,-2741830,1847755,2682225,-298025,-2741830,5185635,-3457090,3516695,-2920645,-3039855,1311310,-4112745,119210,655655,-1668940,-3516695,-4112745,-2264990,4231955,1311310,-1847755,596050,894075,3159065,-6437340,953680,-1311310,3576300,-4649190,-1788150,-3218670,1966965,-4947215,-1013285,-5364450,-1192100
400,178815,-119210,4947215,5483660,894075,-119210,1251705,-178815,-2622620,-1728545,-476840,3814720,1013285,-5841290,-476840,1609335,5722080,-1072890,9000355,1609335,-1788150,-1609335,-3218670,9298380,2264990,476840,3874325,1430520,3635905,2026570,894075,5722080,-298025,-5126030,-2920645,-2264990,3278275,-238420,-4649190,2920645,-1847755,11265345,3993535,0,476840,3039855,-2205385,10371270,-1549730,2264990,7569835,6020105,1490125,-119210,-1430520,-2503410,-2563015,-1192100,1251705,-834470
500,953680,-7092995,8702330,476840,596050,-3278275,655655,1728545,-119210,-1847755,-3933930,3933930,-953680,238420,-119210,-2086175,3933930,-2563015,2741830,2622620,-3814720,-2205385,476840,2145780,119210,-596050,3993535,-1728545,-596050,-953680,1668940,3874325,-3516695,-59605,1966965,-3814720,2682225,1370915,596050,-894075,834470,2801435,-1549730,3159065,596050,-3814720,-4708795,6318130,-3278275,-715260,9119565,2861040,1251705,-59605,-1847755,-9119565,-357630,-1251705,-1192100,-2264990
600,357630,-10669295,5126030,1311310,417235,-3576300,-3695510,2264990,5722080,0,-2324595,1668940,7092995,2741830,-1490125,-6139315,5185635,-5006820,8404305,-1788150,-3159065,1251705,-5185635,238420,-4291560,-417235,4649190,1132495,-1251705,-2861040,-1609335,3576300,-1847755,-655655,357630,-6258525,-1847755,596050,3218670,-2741830,2264990,-1132495,1490125,10967320,1847755,-2801435,-2264990,4172350,-2741830,-2086175,1728545,4172350,-6914180,1370915,-7331415,-7569835,894075,-2086175,-2503410,-3337880
700,1609335,2384200,1907360,0,-3516695,-953680,-536445,2741830,1490125,-7867860,-953680,4887610,4172350,-4231955,-2205385,1132495,4708795,-2920645,1728545,-4112745,357630,-3933930,655655,5364450,-3635905,476840,2503410,-4708795,119210,-59605,2205385,1132495,-1966965,-5543265,-894075,-7152600,476840,-1847755,-1907360,-1370915,-417235,-7510230,4112745,2384200,3039855,476840,-6079710,1490125,-178815,3457090,-1430520,2503410,119210,715260,-6556550,-4708795,-1370915,596050,-834470,-4053140
800,2801435,2205385,2205385,2622620,-2443805,715260,953680,1311310,178815,-8642725,-298025,4649190,8046675,953680,-2503410,5483660,2324595,2384200,1132495,-5602870,2324595,1728545,-2563015,8404305,-2563015,1311310,2026570,-4708795,-2443805,-1013285,1013285,3159065,3457090,-5781685,5483660,953680,238420,5006820,-1490125,2682225,655655,4649190,6735365,6020105,4291560,-178815,-4053140,4589585,-2980250,4887610,9536800,4231955,-1430520,5185635,-119210,476840,3814720,3278275,-2682225,59605
900,10669295,4053140,8046675,3695510,-2682225,-3576300,-2086175,536445,-655655,-4112745,-715260,3397485,-1072890,-3814720,-834470,3278275,-774865,476840,2741830,-238420,-2384200,953680,119210,2980250,-3159065,-298025,-655655,-238420,-2861040,-1311310,3993535,5245240,-1430520,119210,-655655,-3576300,298025,1370915,-2026570,6377735,596050,1847755,3576300,6854575,-1847755,-6854575,1609335,2384200,6675760,2443805,14782040,3933930,1907360,-1013285,4708795,-536445,-894075,-2086175,-6258525,3755115
